Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Lovén, L; Farahani, R; Murturi, I; Sigg, S; Dustdar, S";;;ACM;"Loven, Lauri; Farahani, Reza; Murturi, Ilir; Sigg, Stephan; Dustdar, Schahram";;;Agentic Edge Intelligence: A Research Agenda;PROCEEDINGS OF THE 18TH IEEE/ACM INTERNATIONAL CONFERENCE ON UTILITY AND CLOUD COMPUTING, UCC 2025;;;English;Proceedings Paper;18th International Conference on Utility and Cloud Computing-UCC;DEC 01-04, 2025;IMT Atlantique, Nantes, FRANCE;;IMT Atlantique;"Agentic AI; Multi-agent Systems; Computing Continuum; Edge Intelligence; Large Language Model (LLM)";;Agentic AI is rapidly transforming autonomous decision-making, yet its deployment across the edge-cloud continuum remains poorly understood. This paper introduces the concept of agentic edge intelligence, an emerging paradigm in which autonomous agents operate across the computing continuum to negotiate computational resources, data, and services within dynamic digital market-places. We position this concept at the intersection of edge intelligence, multi-agent systems, and computational economics, where distributed decision-making replaces centralized orchestration. The paper outlines key research challenges, including scalability, interoperability, market stability, and ethical governance, and proposes a research agenda addressing theoretical, architectural, and societal dimensions. By integrating mechanism design with trustworthy AI and edge computing, the real-time AI economy envisions a self-organizing infrastructure for efficient, transparent, and equitable resource exchange in future digital ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;66;10.1145/3773274.3777421;http://dx.doi.org/10.1145/3773274.3777421;;;5;;;Computer Science;;;;;;;WOS:001669254000066;View Full Record in Web of Science
J;Mccannon, BC;;;;Mccannon, Bryan C.;;;Artificial intelligence and strategic uncertainty: Can AI play mixed strategies?;JOURNAL OF RISK AND UNCERTAINTY;;;English;Article;;;;;;"artificial intelligence; ChatGPT; Minimax hypothesis; Mixed strategy; Robinson crusoe fallacy; Serial correlation; Strategic uncertainty; D91; C72";"RANDOM NUMBER GENERATION; MINIMAX PLAY; COGNITIVE-ABILITY; DECISION-MAKING; PROFESSIONALS; EQUILIBRIA; EXPERIENCE; GAMES; UNIQUE";Numerous decision making tasks require humans to engage in strategic uncertainty where game theory predicts they should adopt a mixed strategy. While past research calls into question this ability in humans, I ask whether artificial intelligence is able to play mixed strategies appropriately. I have it interact in a two-player, 2x2 zero-sum game where the opponent takes a fixed, pre-selected strategy. I devise three tests of optimal behavior. First, I show that AI does not play mixed strategies appropriately in that the empirical frequency of play does not match equilibrium predictions when playing against an opponent who is playing the equilibrium strategy. Second, it exhibits positive serial correlation in its play. In addition, I include treatments where its opponent exhibits either perfect negative serial correlation or perfect positive serial correlation. Given positive serial correlation in its play, in games where AI's opponent also exhibits positive serial correlation AI does well, but when playing against an opponent exhibiting negative serial correlation its earnings tend to be negative. Third, I extend the game to consider two additional treatments where in one AI's payoff is reduced in one cell of the game matrix and another treatment where its opponent's payoff increases. While Nash equilibrium predicts AI's behavior will respond to changes in its opponent's payoff and not adjust behavior when its payoff changes, I show that AI does the opposite. Taken together, AI is unable to engage in strategic uncertainty well.;;;;;;;;;;;;;;;;;;;;;;;;OCT;2025;71;2;;;;;139;158;;10.1007/s11166-025-09467-5;http://dx.doi.org/10.1007/s11166-025-09467-5;;OCT 2025;20;;;Business & Economics;;;;;;;WOS:001592734100001;View Full Record in Web of Science
C;"Mozikov, M; Orekhov, D; Nasonov, I; Baltsat, K; Pedashenko, V; Abramov, D; Severin, N; Maximov, Y; Savchenko, A; Makarov, I";;;ACM;"Mozikov, Mikhail; Orekhov, Daniil; Nasonov, Ivan; Baltsat, Konstantin; Pedashenko, Vladislav; Abramov, Dmitrii; Severin, Nikita; Maximov, Yury; Savchenko, Andrey; Makarov, Ilya";;;HL-EAI: A Multimodal Framework Enabling Emotional Reciprocity in Human-AI Strategic Decision-Making;PROCEEDINGS OF THE 33RD ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA (MM 2025);;;English;Proceedings Paper;2025 Conference on Multimedia-MM;OCT 27-31, 2025;Dublin, IRELAND;;;"LLM; Game Theory; Human-LLM Collaboration; Multimodal Agent";;This paper presents HL-EAI, a multimodal framework for studying emotion-driven cooperation in human-LLM, human-human, and LLM-LLM interactions via dynamic game-theoretic tasks. HL-EAI integrates emotional prompting, emotion recognition, and expressive AI avatars to enable bidirectional emotion transfer. By modeling affective influence on trust and alignment, it provides a testbed for developing emotionally aware agents. Our demo shows how multimodal emotional cues shape cooperation, advancing socially intelligent, human-compatible AI for interactive multimedia systems.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;13501;13503;;10.1145/3746027.3754468;http://dx.doi.org/10.1145/3746027.3754468;;;3;;;Computer Science;;;;;;;WOS:001671135600657;View Full Record in Web of Science
J;"Peng, YX; Hu, H; Li, FY; Jiang, YC; Tang, JP; Liu, YL";;;;"Peng, Yixiao; Hu, Hao; Li, Feiyang; Jiang, Yingchang; Tang, Jipeng; Liu, Yuling";;;LLM4Game: Multi-agent reinforcement learning with knowledge injection for dynamic defense resource allocation in cloud storage;COMPUTER NETWORKS;;;English;Article;;;;;;"Cloud storage attack-defense; Defense resource allocation; Colonel Blotto game; Multi-agent RL; LLM-based knowledge injection";"ADVANCED PERSISTENT THREATS; SECURITY; INTERNET; THINGS";The non-cooperative and interdependent nature of network attack-defense links it closely to game theory. Current game-theoretic decision-making methods construct game models for attack-defense scenarios and use reinforcement learning (RL) to compute optimal strategies. However, RL relies on the trial and error exploration and is likely to fall into the local optimum in some cloud storage environment without game equilibrium. First, in cloud storage systems, the resource investment of attack and defense players has a winner-takes-all characteristic. Thus, we employ the Colonel Blotto game to model the attack-defense scenario in cloud storage systems, extending it to a multi-player, heterogeneous battlefield model with asymmetric resources. Second, RL's reliance on trial-and-error exploration leads to suboptimal convergence in sparse-reward, non-equilibrium conditions. We leverage Large Language Models (LLMs) to inject attack-defense context knowledge, addressing the cold start problem of RL. Finally, we propose the RL-LLM-KI algorithm featuring a precomputation-retrieval mechanism that mitigates the inference speed discrepancy between LLMs and RL agents, enabling real-time defense decisions. Experiments show that our work increases utility by 140% and 136.36% compared to MADRL and DRS-DQN respectively in typical experimental scenarios. To our best knowledge, this study is the first to reveal the significant effect of knowledge injection in enhancing decision-making efficacy in highly adversarial cloud storage attack-defense scenarios.;;;;;;;;;;;;;;;;;;;;;;;;DEC;2025;273;;;;;;;;111748;10.1016/j.comnet.2025.111748;http://dx.doi.org/10.1016/j.comnet.2025.111748;;OCT 2025;13;;;"Computer Science; Engineering; Telecommunications";;;;;;;WOS:001597740100001;View Full Record in Web of Science
C;"Kong, DX; Yan, X; Chen, M; Han, SG; Chen, JF; Huang, F";;;ACM;"Kong, Dexin; Yan, Xu; Chen, Ming; Han, Shuguang; Chen, Jufeng; Huang, Fei";;;FishBargain: An LLM-Empowered Bargaining Agent for Online Fleamarket Platform Sellers;COMPANION PROCEEDINGS OF THE ACM WEB CONFERENCE 2025, WWW COMPANION 2025;;;English;Proceedings Paper;2025 Web Conference-WWW;APR 28-MAY 02, 2025;Sydney, AUSTRALIA;;;"Large Language Model; Bargaining; Proactive Dialogue";;Different from traditional Business-to-Consumer e-commerce platforms (e.g., Amazon), online fleamarket platforms (e.g., Craigslist) mainly focus on individual sellers who are lack of time investment and business proficiency. Individual sellers often struggle with the bargaining process and thus the deal is unaccomplished. Recent advancements in Large Language Models(LLMs) demonstrate huge potential in various dialogue tasks, but those tasks are mainly in the form of passively following user's instruction. Bargaining, as a form of proactive dialogue task, represents a distinct art of dialogue considering the dynamism of environment and uncertainty of adversary strategies. In this paper, we propose an LLM-empowered bargaining agent designed for online fleamarket platform sellers, named as FishBargain. Specifically, FishBargain understands the chat context and product information, chooses both action and language skill considering possible adversary actions and generates utterances. FishBargain has been tested by thousands of individual sellers on one of the largest online fleamarket platforms (Xianyu) in China. Both qualitative and quantitative experiments demonstrate that FishBargain can effectively help sellers make more deals.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;2855;2858;;10.1145/3701716.3715176;http://dx.doi.org/10.1145/3701716.3715176;;;4;;;Computer Science;;;gold;;;;WOS:001527543600475;View Full Record in Web of Science
C;"Fan, CY; Chen, JD; Jin, YH; He, H";;"Wooldridge, M; Dy, J; Natarajan, S";;"Fan, Caoyun; Chen, Jindou; Jin, Yaohui; He, Hao";;;Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis;THIRTY-EIGHTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 38 NO 16;AAAI Conference on Artificial Intelligence;;English;Proceedings Paper;38th AAAI Conference on Artificial Intelligence (AAAI) / 36th Conference on Innovative Applications of Artificial Intelligence / 14th Symposium on Educational Advances in Artificial Intelligence;FEB 20-27, 2024;Vancouver, CANADA;;;;;Game theory, as an analytical tool, is frequently utilized to analyze human behavior in social science research. With the high alignment between the behavior of Large Language Models (LLMs) and humans, a promising research direction is to employ LLMs as substitutes for humans in game experiments, enabling social science research. However, despite numerous empirical researches on the combination of LLMs and game theory, the capability boundaries of LLMs in game theory remain unclear. In this research, we endeavor to systematically analyze LLMs in the context of game theory. Specifically, rationality, as the fundamental principle of game theory, serves as the metric for evaluating players' behavior - building a clear desire, refining belief about uncertainty, and taking optimal actions. Accordingly, we select three classical games (dictator game, Rock-Paper-Scissors, and ring-network game) to analyze to what extent LLMs can achieve rationality in these three aspects. The experimental results indicate that even the current state-of-the-art LLM (GPT-4) exhibits substantial disparities compared to humans in game theory. For instance, LLMs struggle to build desires based on uncommon preferences, fail to refine belief from many simple patterns, and may overlook or modify refined belief when taking actions. Therefore, we consider that introducing LLMs into game experiments in the field of social science should be approached with greater caution.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;17960;17967;;;;;;8;;;"Computer Science; Education & Educational Research";;;;;;;WOS:001239323500076;View Full Record in Web of Science
C;"Rajendran, V; Besiahgari, D; Patil, SC; Chandrashekaraiah, M; Challagulla, V";;;IEEE;"Rajendran, Vasanth; Besiahgari, Dinesh; Patil, Sachin C.; Chandrashekaraiah, Manjunath; Challagulla, Vishnu";;;A Multi-Agent LLM Environment for Software Design and Refactoring: A Conceptual Framework;SOUTHEASTCON 2025;IEEE SoutheastCon-Proceedings;;English;Proceedings Paper;2025 SoutheastCon;MAR 22-30, 2025;Concord, NC;;;"Multi-agent systems; Large Language Models; Software refactoring; Agent specialization; Consensus protocols; Auction mechanisms; Code quality";;Modern software systems demand continuous evolution to maintain performance, scalability, and security. Traditional single-agent AI-driven code refactoring approaches are often limited in addressing the multi-faceted constraints (e.g., performance, security, maintainability) that emerge during complex software design tasks. In this paper, we propose a novel Multi-Agent Large Language Model (LLM) Environment for automated software design and refactoring. Our conceptual framework comprises specialized LLM experts, each trained or fine-tuned on a different aspect of software engineering (performance optimization, security hardening, UI/UX, maintainability). These agents collaborate in a cooperative or competitive fashion-using coordination protocols akin to consensus or auction mechanisms-to synthesize design insights and refactoring recommendations. We present formal definitions of agent interactions (including mathematical notation for termination conditions), a sequence diagram demonstrating agent collaboration, a complexity analysis of the coordination mechanism, and an expanded reference list. Preliminary experimental design is outlined to demonstrate how multi-agent interactions may resolve conflicting design goals more effectively than a single-agent approach. Our aim is to provide a roadmap for integrating multi-agent LLMs into the software development lifecycle, thereby improving development efficiency, reducing technical debt, and enhancing software quality.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;488;493;;10.1109/SOUTHEASTCON56624.2025.10971563;http://dx.doi.org/10.1109/SOUTHEASTCON56624.2025.10971563;;;6;;;"Computer Science; Engineering";;;;;;;WOS:001481122200078;View Full Record in Web of Science
J;"Li, ZM; Zhang, RB; Wang, ZM; Xie, Z; Song, YP";;;;"Li, Zhemin; Zhang, Ruobing; Wang, Zhengming; Xie, Zheng; Song, Yiping";;;LLM-guided decision-making toolkit for multi-agent reinforcement learning;NEUROCOMPUTING;;;English;Article;;;;;;"MARL; LLM; SMAC; Cold-start problem";;Complex cooperative game tasks pose significant challenges to decision making in multi-agent systems. Despite advancements in multi-agent reinforcement learning (MARL), these systems often struggle in the initial learning phase, known as the cold-start problem, where devising effective strategies from scratch is difficult. To address this, we leverage the advanced reasoning capabilities of Large Language Models (LLMs) by introducing prompt learning in complex cooperative games. In our approach, tensor-formatted environmental information is converted into natural language and fed into LLMs during early exploration stages in MARL algorithms. The strategic suggestions generated by LLMs, combined with trajectories from random exploration, form an experience pool for initial training. Our experiments demonstrate that this approach significantly enhances cooperation among agents in complex games and mitigates the cold-start issue. Notably, we have developed a toolkit compatible with the StarCraft Multi-Agent Challenge (SMAC) environment, providing seamless integration between SMAC APIs, LLMs, and MARL algorithms. This includes automated prompt generation for any map and alignment of natural language strategies with tensor-formatted data. In addition, considering the importance of effective communication for enhancing collaboration efficiency, our toolkit includes a robust communication module, which supports the training, testing, and visualization of communication algorithms. We provide the source code on GitHub at https://github.com/lizhemin18/pymarl_LLM.;;;;;;;;;;;;;;;;;;;;;;;;JUL 14;2025;638;;;;;;;;130105;10.1016/j.neucom.2025.130105;http://dx.doi.org/10.1016/j.neucom.2025.130105;;APR 2025;14;;;Computer Science;;;;;;;WOS:001466023900001;View Full Record in Web of Science
C;"Mei, AR; Wang, JH; Zhu, GN; Gan, ZX";;;IEEE;"Mei, Aoran; Wang, Jianhua; Zhu, Guo-Niu; Gan, Zhongxue";;;GameVLM: A Decision-making Framework for Robotic Task Planning Based on Visual Language Models and Zero-sum Games;2024 IEEE INTERNATIONAL CONFERENCE ON MECHATRONICS AND AUTOMATION, ICMA 2024;IEEE International Conference on Mechatronics and Automation;;English;Proceedings Paper;21st IEEE International Conference on Mechatronics and Automation (IEEE ICMA);AUG 04-07, 2024;Tianjin, PEOPLES R CHINA;;;"Task planning; Multi-agent; Visual language models; Zero-sum game theory; Decision-making";;With their prominent scene understanding and reasoning capabilities, pre-trained visual-language models (VLMs) such as GPT-4V have attracted increasing attention in robotic task planning. Compared with traditional task planning strategies, VLMs are strong in multimodal information parsing and code generation and show remarkable efficiency. Although VLMs demonstrate great potential in robotic task planning, they suffer from challenges like hallucination, semantic complexity, and limited context. To handle such issues, this paper proposes a multi-agent framework, i.e., GameVLM, to enhance the decision-making process in robotic task planning. In this study, VLM-based decision and expert agents are presented to conduct the task planning. Specifically, decision agents are used to plan the task, and the expert agent is employed to evaluate these task plans. Zero-sum game theory is introduced to resolve inconsistencies among different agents and determine the optimal solution. Experimental results on real robots demonstrate the efficacy of the proposed framework, with an average success rate of 83.3%. Videos of our experiments are available at https://youtu.be/sam-MKCPP7Y.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;1771;1776;;10.1109/ICMA61710.2024.10633088;http://dx.doi.org/10.1109/ICMA61710.2024.10633088;;;6;;;"Automation & Control Systems; Computer Science";;;;;;;WOS:001304562500296;View Full Record in Web of Science
J;"Feng, Y; Wang, ZH; Chen, YD; Zhao, H";;;;"Feng, Yu; Wang, Zehao; Chen, Yinda; Zhao, Hua";;;LLM agent driven online auction mechanism for agricultural products;KYBERNETES;;;English;"Article; Early Access";;;;;;"Agricultural trading innovation; Intelligent agent systems; AI technology application; Agricultural supply chain intelligence";OPTIMIZATION;"PurposeThe study aims to address persistent inefficiencies in agricultural product trading-namely, information asymmetry, market opacity, and trading inefficiency-that hinder supply chain profitability and disrupt market stability. It explores how intelligent systems, empowered by large language models (LLMs), can enhance transaction transparency, optimize decision-making, and improve market performance.Design/methodology/approachThis research integrates large-scale language models (LLMs) into an online auction framework through dynamically adaptive intelligent agent systems. These agents simulate real-world market behaviors and leverage machine learning algorithms to enhance auction decision-making. An empirical evaluation is conducted using three experimental groups, with performance assessed across multiple quantitative metrics. Statistical significance is tested using Tukey's HSD post-hoc analysis.FindingsThe results reveal that the LLM-based agent system significantly outperforms the other two benchmark approaches on all performance indicators. The system demonstrates superior capability in mitigating the effects of information asymmetry, improving pricing accuracy, and facilitating more efficient and transparent transactions.Research limitations/implicationsGeographic and temporal data limitations may impact generalizability; further research is needed.Practical implicationsThe proposed model offers actionable insights for designing next-generation online trading platforms in the agricultural sector. By embedding LLMs into intelligent agent systems, market participants-including farmers and buyers-can benefit from enhanced information flow, reduced transaction costs, and more balanced supply-demand interactions.Social implicationsPromotes fair transactions, reducing market information asymmetry for sustainable agricultural development.Originality/valueThis study is among the first to incorporate LLMs into auction-based agricultural trading systems, demonstrating the transformative potential of AI in reshaping market mechanisms. The research bridges artificial intelligence with smart agriculture, contributing a novel framework that advances both theoretical understanding and practical innovation in digital agriculture and e-marketplace design.";;;;;;;;;;;;;;;;;;;;;;;;2025 OCT 20;2025;;;;;;;;;;10.1108/K-08-2024-2112;http://dx.doi.org/10.1108/K-08-2024-2112;;OCT 2025;21;;;Computer Science;;;;;;;WOS:001596089900001;View Full Record in Web of Science
C;"Dütting, P; Mirrokni, V; Leme, RP; Xu, HF; Zuo, S";;Kwok, J;;"Dutting, Paul; Mirrokni, Vahab; Leme, Renato Paes; Xu, Haifeng; Zuo, Song";;;Mechanism Design for Large Language Models (Extended Abstract);PROCEEDINGS OF THE THIRTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI 2025);;;English;Proceedings Paper;34th International Joint Conference on Artificial Intelligence-IJCAI;AUG 16-22, 2025;Montreal, CANADA;;;;;We investigate auction mechanisms for AI-generated content, focusing on applications like ad creative generation. In our model, agents' preferences over stochastically generated content are encoded as large language models (LLMs). We propose an auction format that operates on a token-by-token basis, and allows LLM agents to influence content creation through single dimensional bids. We formulate two desirable incentive properties and prove their equivalence to a monotonicity condition on output aggregation. This equivalence enables a second-price rule design, even absent explicit agent valuation functions. Our design is supported by demonstrations on a publicly available LLM.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;10885;10890;;;;;;6;;;Computer Science;;;;;;;WOS:001634925300566;View Full Record in Web of Science
J;"Kirshner, SN; Pan, YW; Wu, JX; Gould, A";;;;"Kirshner, Samuel N.; Pan, Yiwen; Wu, Jason Xianghua; Gould, Alex";;;Talking terms: Agent information in LLM supply chain bargaining;DECISION SCIENCES;;;English;Article;;;;;;"artificial intelligence; ChatGPT; large language models; negotiation; supply chain bargaining";"CONTRACTS; INVESTMENT";We investigate the use of large language models as agents (LLM agents) in autonomous supply chain contract negotiations. Our objectives are to assess whether LLM agents exhibit human-like bargaining behaviors and to explore the impact of information on performance. To address these objectives, we conducted several experimental studies using LLM agents as participants and compared the results with human results from a benchmark study. Our experiments covered scenarios where supplier cost information was public, private, ambiguous, or deceptive. Overall, we found that LLM agents use simple heuristics to make decisions and generally exhibit human-like negotiating behavior. Contrasting humans, LLM agents are more inclined toward reaching agreement, leading to greater supply chain efficiency but potentially greater inequality compared to human negotiators. Deceiving LLM agents into believing they have higher costs can improve outcomes for the supplier at the expense of retailers and the supply chain's efficiency. We also show that tailored retrieval-augmented generation (RAG) configurations can enhance negotiation outcomes. Taken together, our results (1) provide timely insights into the integration of AI into supply chains, (2) raise ethical questions around the trade-off between inequality and efficiency and the use of deception with LLM agents, (3) highlight the effectiveness of tailoring RAG configurations to optimize specific objectives such as efficiency or stakeholder profitability, and (4) provide many avenues for future research into examining LLM agents as supply chain negotiators.;;;;;;;;;;;;;;;;;;;;;;;;FEB;2026;57;1;;;;;9;23;;10.1111/deci.70010;http://dx.doi.org/10.1111/deci.70010;;JUL 2025;15;;;Business & Economics;;;;;;;WOS:001528658800001;View Full Record in Web of Science
J;"Feng, JH; Ning, Y; Wang, ZH; Li, G; Xu, SX";;;;"Feng, Jianghong; Ning, Yu; Wang, Zhaohua; Li, Guo; Xu, Su Xiu";;;ChatGPT-enabled two-stage auctions for electric vehicle battery recycling;TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW;;;English;Article;;;;;;"Battery recycling; Two-stage auctions; Information matching; Mechanism design; ChatGPT";"STRATEGY; SYSTEMS";"The primary objective of this study is to create an advanced management system that seamlessly integrates ChatGPT, an intelligent chatbot, with a cutting-edge two-stage auctions model. This integration aims to optimize the recycling process of electric vehicle batteries, ensuring utmost efficiency. To gauge the effect of incorporating ChatGPT on participants' values, we introduce technology coefficient parameters, providing a deeper understanding of its impact. In the initial phase of the auction, a sophisticated platform or an impartial third-party appraisal firm is employed. Their task is to collect vital attribute information from potential sellers regarding the waste batteries. Subsequently, this information is carefully matched with interested buyers. To determine the appropriate number of buyers both before and after the auction, we introduce two innovative matching mechanisms. We propose the implementation of a pioneering one-sided affine VCG (Vickrey-Clarke-Groves) auction, which portrays the affine externality of buyers to other buyers, along with a weighted generalized second-price auction. Additionally, we introduce a ground-breaking mechanism known as weighted multi-unit trade reduction. This inventive process allows successful bidders from the first stage to actively participate in the subsequent auction. Within this paper, we develop auction allocation rules based on the interplay between winning sellers' supply and winning buyers' demand. The outcomes of our numerical studies demonstrate the efficacy of the two-stage auction method in addressing buyers' concerns regarding battery performance. Furthermore, we have found that the utilization of ChatGPT technology proves advantageous for both participants and the platform; if buyers have a positive affine externality on other buyers, then the platform's revenue will be reduced, while social welfare will increase. In the realm of incentive compatibility, individual rationality, and budget balancing, our proposed mechanism stands unwaveringly strong, having undergone rigorous scrutiny and demonstrating commendable performance in numerous numerical experiments. Lastly, we offer practical management insights for stakeholders in the battery recycling market. These invaluable insights are derived from our hands-on experience, providing a fresh perspective for industry managers.";;;;;;;;;;;;;;;;;;;;;;;;MAR;2024;183;;;;;;;;103453;10.1016/j.tre.2024.103453;http://dx.doi.org/10.1016/j.tre.2024.103453;;FEB 2024;22;;;"Business & Economics; Engineering; Operations Research & Management Science; Transportation";;;;;;;WOS:001186480800001;View Full Record in Web of Science
C;"Mozikov, M; Severin, N; Bodishtianu, V; Glushanina, M; Nasonov, I; Orekhov, D; Pekhotin, V; Makovetskiy, I; Baklashkin, M; Lavrentyev, V; Tsvigun, A; Turdakov, D; Shavrina, T; Saychenko, A; Makarov, I";;"Globerson, A; Mackey, L; Belgrave, D; Fan, A; Paquet, U; Tomczak, J; Zhang, C";;"Mozikov, Mikhail; Severin, Nikita; Bodishtianu, Valeria; Glushanina, Maria; Nasonov, Ivan; Orekhov, Daniil; Pekhotin, Vladislav; Makovetskiy, Ivan; Baklashkin, Mikhail; Lavrentyev, Vasily; Tsvigun, Akim; Turdakov, Denis; Shavrina, Tatiana; Saychenko, Andrey; Makarov, Ilya";;;EAI: Emotional Decision-Making of LLMs in Strategic Games and Ethical Dilemmas;ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 37 (NEURIPS 2024);Advances in Neural Information Processing Systems;;English;Proceedings Paper;2024 38th Conference on Neural Information Processing Systems-NeurIPS;DEC 10-15, 2024;Vancouver, CANADA;;;;"DICTATOR GAME; FAIRNESS; RATIONALITY; COOPERATION; HAPPINESS; SADNESS; DISGUST";One of the urgent tasks of artificial intelligence is to assess the safety and alignment of large language models (LLMs) with human behavior. Conventional verification only in pure natural language processing benchmarks can be insufficient. Since emotions often influence human decisions, this paper examines LLM alignment in complex strategic and ethical environments, providing an in-depth analysis of the drawbacks of our psychology and the emotional impact on decision-making in humans and LLMs. We introduce the novel EAI framework for integrating emotion modeling into LLMs to examine the emotional impact on ethics and LLM-based decision-making in various strategic games, including bargaining and repeated games. Our experimental study with various LLMs demonstrated that emotions can significantly alter the ethical decision-making landscape of LLMs, highlighting the need for robust mechanisms to ensure consistent ethical standards. Our game-theoretic analysis revealed that LLMs are susceptible to emotional biases influenced by model size, alignment strategies, and primary pretraining language. Notably, these biases often diverge from typical human emotional responses, occasionally leading to unexpected drops in cooperation rates, even under positive emotional influence. Such behavior complicates the alignment of multiagent systems, emphasizing the need for benchmarks that can rigorously evaluate the degree of emotional alignment. Our framework provides a foundational basis for developing such benchmarks.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;;;;;;;;34;;;Computer Science;;;;;;;WOS:001633285000064;View Full Record in Web of Science
C;"Wang, HC; Zhao, SD; Wang, JB; Qiang, ZW; Qin, B; Liu, T";;"Che, W; Nabende, J; Shutova, E; Pilehvar, MT";;"Wang, Haochun; Zhao, Sendong; Wang, Jingbo; Qiang, Zewen; Qin, Bing; Liu, Ting";;;Beyond Frameworks: Unpacking Collaboration Strategies in Multi-Agent Systems;PROCEEDINGS OF THE 63RD ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS;;;English;Proceedings Paper;63rd Association for Computational Linguistics Meeting-ACL-Annual;JUL 27-AUG 01, 2025;Vienna, AUSTRIA;;;;;Multi-agent collaboration has emerged as a pivotal paradigm for addressing complex, distributed tasks in large language model (LLM)-driven applications. While prior research has focused on high-level architectural frameworks, the granular mechanisms governing agents, critical to performance and scalability, remain underexplored. This study systematically investigates four dimensions of collaboration strategies: (1) agent governance, (2) participation control, (3) interaction dynamics, and (4) dialogue history management. Through rigorous experimentation under two context-dependent scenarios: Distributed Evidence Integration (DEI) and Structured Evidence Synthesis (SES), we quantify the impact of these strategies on both task accuracy and computational efficiency. Our findings reveal that centralized governance, instructor-led participation, ordered interaction patterns, and instructor-curated context summarization collectively optimize the trade-off between decision quality and resource utilization with the support of the proposed Token-Accuracy Ratio (TAR). This work establishes a foundation for designing adaptive, scalable multi-agent systems, shifting the focus from structural novelty to strategic interaction mechanics.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;21361;21375;;;;;;15;;;"Computer Science; Linguistics";;;;;;;WOS:001611625300075;View Full Record in Web of Science
