"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","DOI","Link","Abstract","Author Keywords","Index Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source"
"De Curto J.; De Zarza I.","De Curto, J. (57734568900); De Zarza, I. (57734283700)","57734568900; 57734283700","LLM-Driven Social Influence for Cooperative Behavior in Multi-Agent Systems","2025","IEEE Access","13","","","44330","44342","10.1109/ACCESS.2025.3548451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001074744&doi=10.1109%2FACCESS.2025.3548451&partnerID=40&md5=5987142037d11f9af48716bcee63933b","This paper presents a novel approach to fostering cooperative behavior in multi-agent systems (MAS) through Large Language Model (LLM)-driven social influence. We propose a theoretical framework where agents' decision-making processes are influenced not through direct action but by subtle, narrative-driven influences disseminated by LLMs. These influences guide agents toward cooperative behaviors, such as rural repopulation, without requiring explicit policy interventions. We introduce a formal model grounded in game theory and social network dynamics, where agents balance the direct benefits of action with the indirect payoffs of LLM-guided influence. Using NASH equilibrium and Evolutionarily Stable Strategies (ESS), we demonstrate how cooperative behaviors emerge even when agents remain inactive but are subtly influenced by LLMs. Our experimental simulations validate the model, showing a strong positive correlation between network centrality and influence propagation (r = 0.969\p < 0.006). Furthermore, temporal analysis reveals that the average influence increases from approximately 0.05-0.06 in the initial steps to 0.08-0.09 in later stages, indicating a cumulative and self-sustaining trend. In addition, the influence values exhibit a near-normal distribution (Shapiro-Wilk test, p = 0.285) and yield a large effect size (Cohen's d = 4.530) when comparing agents with high versus low network centrality. Through visualization techniques and statistical metrics, we demonstrate the effectiveness of the proposed framework and identify promising directions for future research in AI-driven social influence. This study highlights the potential of LLM-driven narratives as a cost-effective, scalable alternative to traditional policy interventions, offering a new paradigm for promoting societal cooperation in areas such as rural repopulation, sustainability, and community development.  © 2013 IEEE.","game theory; large language models; Multi-agent systems; NASH equilibrium; rural repopulation; social influence","Decision theory; Economic and social effects; Intelligent agents; Normal distribution; Social behavior; Social psychology; System theory; Co-operative behaviors; Language model; Large language model; Model-driven; Multiagent systems (MASs); NASH equilibrium; Policy intervention; Repopulation; Rural repopulation; Social influence; Nash equilibrium","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Guo Z.; Lv H.; Zhang C.; Zhao Y.; Zhang Y.; Cui L.","Guo, Zihao (57222583981); Lv, Hongtao (57205076737); Zhang, Chaoli (57758064900); Zhao, Yibowen (58602925400); Zhang, Yixin (57214731231); Cui, Lizhen (55632676200)","57222583981; 57205076737; 57758064900; 58602925400; 57214731231; 55632676200","The Illusion of Randomness: How LLMs Fail to Emulate Stochastic Decision-Making in Rock-Paper-Scissors Games?","2025","EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025","","","","8618","8637","10.18653/v1/2025.findings-emnlp.458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028952933&doi=10.18653%2Fv1%2F2025.findings-emnlp.458&partnerID=40&md5=2d09f869796c364ba33c2f7a8a550e60","Prior research indicates that although large language models (LLMs) can precisely articulate the theoretical probability distributions associated with optimal strategic choices, their actual decision-making systematically diverges from these prescriptions—a phenomenon we define as the cognition–behaviour gap in LLMs. For example, in a Rock–Paper–Scissors (RPS) game, LLMs correctly identify the strategy of Nash equilibrium as selecting each action (Rock, Paper, Scissors) with equal probability 13 , but their observed choices systematically deviate from this uniform distribution. Through a comprehensive evaluation of 20 state-of-the-art LLMs, we identify two critical insights: (1) we demonstrate that intrinsic biases inherited from pre-training corpora alone are insufficient to explain the observed deviations; (2) we introduce a semantic-free paradigm that strips away intrinsic biases to isolate pure positional bias-LLMs exhibit distinct position preferences—for example, o1 favours the first option, DeepSeek-V3 peaks the middle and DeepSeek-R1 shows a bimodal bias toward first and last positions. Our findings advocate innovation to bridge the gap between strategic reasoning and decision-making in LLMs. ©2025 Association for Computational Linguistics.","","Behavioral research; Computational linguistics; Decision making; Decision theory; Nash equilibrium; Probability distributions; Semantics; Tools; Comprehensive evaluation; Decisions makings; Equal probability; Intrinsic bias; Language model; Nash equilibria; Probability: distributions; Stochastics; Strategic choice; Uniform distribution; Stochastic systems","airbnb; Bailu; et al.; HPC-AI.COM; Miromind; Tencent","30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025","4 November 2025 through 9 November 2025","Suzhou","216600","English","Conference paper","Final","","Scopus"
"Jing H.; Wei J.; Wei W.; Tan Y.; Zheng B.; Yao Q.","Jing, Huiyun (54403113000); Wei, Jincheng (59510506300); Wei, Wei (60436957200); Tan, Yingshui (59450332500); Zheng, Boren (59450588200); Yao, Qingsong (57212005251)","54403113000; 59510506300; 60436957200; 59450332500; 59450588200; 57212005251","Multi-Step Adaptive Attack Agent: A Dynamic Approach for Jailbreaking Large Language Models","2025","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","","","","139","148","10.1109/ICTAI66417.2025.00026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031903239&doi=10.1109%2FICTAI66417.2025.00026&partnerID=40&md5=dd1e64c852d32ceaeb391f70b73a6f0b","Large Language Models (LLMs) have showcased remarkable potential across various domains, especially in text generation. However, their vulnerability to jailbreak attacks presents considerable challenges to secure deployment, as attackers can use carefully crafted prompts to bypass safety measures and generate harmful content. Current jailbreak methods generally suffer from two significant limitations: a restricted strategy space for generating adversarial prompts and insufficient optimization of prompts based on feedback from LLMs. To overcome these challenges, we present Multistep Adaptive Attack Agent (MATA), an approach that employs a game-theoretic interaction between attack model and target model to adaptively execute jailbreak attacks on LLMs. This method enables iterative attempts based on reflection, gradually identifying the optimal jailbreak attack strategy within a complex strategy space. We compared MATA with mainstream methods across multiple open-source and closed-source LLMs, including Llama3.1, GLM4, and GPT4o. The results demonstrate that our approach exceeds existing methods in terms of attack success rate, average number of queries, and prompt diversity, effectively identifying vulnerabilities in LLMs. © 2025 IEEE.","adaptive; jailbreak attack; large language model; multistep","Game theory; Intelligent agents; Network security; Open source software; Open systems; Adaptive; Attack agent; Dynamic approaches; Jailbreak attack; Language model; Large language model; Multisteps; Safety measures; Strategy space; Text generations; Iterative methods","Biological and Artificial Intelligence Foundation (BAIF); Computer Society of the IEEE; Institute of Electrical and Electronic Engineers (IEEE)","37th IEEE International Conference on Tools with Artificial Intelligence, ICTAI 2025","3 November 2025 through 5 November 2025","Athens","218234","English","Conference paper","Final","","Scopus"
"Mozikov M.; Orekhov D.; Nasonov I.; Baltsat K.; Pedashenko V.; Abramov D.; Severin N.; Maximov Y.; Savchenko A.; Makarov I.","Mozikov, Mikhail (57886375300); Orekhov, Daniil (59701847700); Nasonov, Ivan (58205012400); Baltsat, Konstantin (55836544000); Pedashenko, Vladislav (59490226000); Abramov, Dmitrii (57211215556); Severin, Nikita (57238530000); Maximov, Yury (55855751100); Savchenko, Andrey (42962245900); Makarov, Ilya (57203060623)","57886375300; 59701847700; 58205012400; 55836544000; 59490226000; 57211215556; 57238530000; 55855751100; 42962245900; 57203060623","HL-EAI: A Multimodal Framework Enabling Emotional Reciprocity in Human-AI Strategic Decision-Making","2025","MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025","","","","13501","13503","10.1145/3746027.3754468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024076031&doi=10.1145%2F3746027.3754468&partnerID=40&md5=db6c324ac50cc5306f7b3226f7da5fd9","This paper presents HL-EAI, a multimodal framework for studying emotion-driven cooperation in human-LLM, human-human, and LLM-LLM interactions via dynamic game-theoretic tasks. HL-EAI integrates emotional prompting, emotion recognition, and expressive AI avatars to enable bidirectional emotion transfer. By modeling affective influence on trust and alignment, it provides a testbed for developing emotionally aware agents. Our demo shows how multimodal emotional cues shape cooperation, advancing socially intelligent, human-compatible AI for interactive multimedia systems. © 2025 Owner/Author.","game theory; human-llm collaboration; llm; multimodal agent","Behavioral research; Decision making; Decision theory; Emotion Recognition; Human computer interaction; Intelligent agents; Interactive computer systems; Multimedia systems; Dynamic game; Emotion recognition; Game-theoretic; Human-llm collaboration; Interactive multimedia; Llm; Multi-modal; Multi-modal agent; Multimodal frameworks; Strategic decision making; Game theory","","33rd ACM International Conference on Multimedia, MM 2025","27 October 2025 through 31 October 2025","Dublin","214411","English","Conference paper","Final","","Scopus"
"Shivadekar S.","Shivadekar, Samit (57218166382)","57218166382","Red Teaming LLMs: A Stackelberg Game Approach to AI Safety","2025","Proceedings of the 4th International Conference on Innovative Mechanisms for Industry Applications, ICIMIA 2025","","","","1147","1154","10.1109/ICIMIA67127.2025.11200929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021958489&doi=10.1109%2FICIMIA67127.2025.11200929&partnerID=40&md5=800773311bd381726ef9c791bc059ec1","Artificial Intelligence (AI) models such as large language models (LLM) have demonstrated substantial advancements in recent years. Along with capabilities, researchers have started to study the potential risks of AI generated content. These risks encompass reflective bias, toxic outputs, factually incorrect information, and adversarial outputs. However, in these existing works the focus has primarily been on the assessment of AI models not on the analysis of adversarial use-cases of these models. Red teaming research has focused in considerable depth on the adversarial use-case of conventional AI models, however very few works explore in detail the game-theoretic aspects of the red-teaming task for LLMs. LLMs can provide responses to questions posed in natural language, necessitating exploration of ways in which uncommon or non-obvious questions could be generated. Constructing an effective ensemble policy that ensures diversity and uncertainty in the query responses from different LLMs is non-trivial, as it requires a game-theoretic formulation to evaluate the selection of policies. In this work, a novel red teaming game framework (RTG) for LLMs and the Game-Theoretic Red Teaming System (GRTS) solver to balance the textual LLM policies is proposed. GRTS is guaranteed to converge to a Nash equilibrium (NE) when inner iterations converge and also incorporates lie detection for robustness against gradient leakage. The effectiveness of GRTS is demonstrated in extensive experiments in query generation and diverse query selection tasks, as well as a case study showing GRTS-LLM could generate effective adversarial prompts to find zero-shot prompt injection attacks on internal systems of LLMs. © 2025 IEEE.","Adversarial Robustness; AI Safety; Game Theory; GRTS; LLMs; Nash Equilibrium; NE; Red Teaming","Artificial intelligence; Computation theory; Nash equilibrium; Natural language processing systems; Query processing; Safety engineering; Search engines; Adversarial robustness; Artificial intelligence safety; Game-theoretic; Game-theoretic red teaming system; Intelligence models; LLM; Nash equilibria; Red teaming; Game theory","","4th International Conference on Innovative Mechanisms for Industry Applications, ICIMIA 2025","3 September 2025 through 5 September 2025","Tirupur","214104","English","Conference paper","Final","","Scopus"
"Ain Q.U.; Javed A.; Malik K.M.; Irtaza A.","Ain, Qurat Ul (57214348807); Javed, Ali (57190125008); Malik, Khalid Mahmood (57200448301); Irtaza, Aun (54882450900)","57214348807; 57190125008; 57200448301; 54882450900","Regularized forensic efficient net: a game theory based generalized approach for video deepfakes detection","2025","Multimedia Tools and Applications","84","25","","29621","29664","10.1007/s11042-024-20268-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011747315&doi=10.1007%2Fs11042-024-20268-x&partnerID=40&md5=37590fbd357fa08b32ff3391a8b1363d","Due to the advancements in cutting-edge generative AI algorithms, generating hyper realistic deepfake videos has become easier for the public. This hyperrealism consequently fails contemporary methods to reliably discriminate between original and fake videos. Therefore, to counter any threat caused by these next-generation artificially generated videos, dependable approaches are required to address this classification challenge. To achieve this objective this paper presents an interdisciplinary approach that integrates game theory with deep learning to bring a novel solution to the problem of deepfake detection and protect the detectors against anti-forensics attack. To the best of our knowledge, there does not exist any other work dedicated to video deepfake detection using the integrated approach of game theory and deep learning. The game is designed for two players to distinguish between pristine and deepfake videos. The game utilizes different strategies for the data manipulator as a player P1 and the deepfake detector as P2. Strategies used for P1 involve the formation of the subsets like open and close-set, combined subsets, imbalanced dataset, and post-processing attacks to create challenging strategies for P2. To counter the strategies of P1,we propose a novel Regularized Forensic Efficient Net (RFE Net) that employs regularization techniques, such as batch normalization, dropout, augmentation, and early stopping. Based on the P1 move, the detector chooses the regularization techniques by considering factors such as generalizability and efficiency. Regularization-based strategies improve the performance of our model when compared to contemporary methods. Computation of the Nash equilibrium with the proposed zero-sum game helps to effectively detect deepfakes and leads the game to maximum payoff. Performance of the proposed game theory-based RFE Net was measured on standard and diverse datasets of FaceForensic++, DFDC preview, CelebDF, DFFD, and the World leader’s dataset, including cross-set and cross-corpus evaluation. Additionally, we also performed the post-processing attacks evaluation and explainability analysis. Experimental results demonstrate that the proposed RFE Net outperforms state-of-the-art methods for deepfakes detection in the defined premises. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Deepfakes; Game theory; Nash equilibrium; Post-processing attacks; Regularized forensics efficient net; Zero-sum game","Computer crime; Computer forensics; Crime; Deep learning; Energy security; Footage counters; Forensic engineering; Network security; Normal distribution; Risk assessment; Solvent extraction; Steganography; AI algorithms; Cutting edges; Deepfake; Nash equilibria; Performance; Post-processing; Post-processing attack; Regularization technique; Regularized forensic efficient net; Zero-sum game; Nash equilibrium","","","","","","English","Article","Final","","Scopus"
"Ferrero Á.; Barambones J.; Cano-Benito J.","Ferrero, Álvaro (60117305700); Barambones, Jose (57217292274); Cano-Benito, Juan (57212930318)","60117305700; 57217292274; 57212930318","Exploring the Integration of Large Language Models and Monte Carlo Tree Search in Team Formation for Turn-Based Games: a case-study with the VGC AI Competition","2025","IEEE Transactions on Games","","","","","","10.1109/TG.2025.3613232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017313129&doi=10.1109%2FTG.2025.3613232&partnerID=40&md5=640546db997878a4895bbd98ec22b200","The integration of Large Language Models (LLMs) with Monte Carlo Tree Search (MCTS) offers a novel approach to tackle decision-making challenges in turn-based strategy games, a domain where traditional methods face scalability and adaptability limitations. The objective is to explore the feasibility of LLMs in improving MCTS strategic reasoning by processing dynamic and probabilistic game states. Although prior research has demonstrated the strengths of MCTS in tactical optimization and the potential of LLMs in natural language reasoning, the synergy between these approaches remains underexplored. To explore this gap, this study faces the team formation problem in the Pokémon VGC AI framework through “PokeHit”, a hybrid AI agent that incorporates LLM-driven reasoning within the MCTS pipeline. By testing open-source models as Llama and Mistral, this work evaluates their ability to guide macro-strategy decisions and compares their performance against baseline-heuristic algorithms. Results reveal that LLMs can provide strategies dynamically but suffer from limitations, including hallucinations and inconsistent improvements over traditional methods. However, this research supports the feasibility and challenges of hybrid AI approaches in fine-tuning and policy design to improve their efficiency. The findings aim to contribute to the field of intelligent game agents through the applicability of LLMs in decision-making domains. © 2018 IEEE.","Case study; Intelligent game agents; Large Language Models; Monte-Carlo Tree Search; Team Formation; Turn-based games","Artificial intelligence; Behavioral research; Computation theory; Decision trees; Forestry; Game theory; Intelligent agents; Natural language processing systems; Optimization; Case-studies; Decisions makings; Intelligent game agent; Language model; Large language model; Monte-carlo tree search; Strategy games; Team formation; Tree-search; Turn-based game; Heuristic algorithms; Monte Carlo methods","","","","","","English","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus"
"Guo A.; Hou J.; Wang F.-Y.","Guo, Ao (57607552700); Hou, Jiachen (55303729500); Wang, Fei-Yue (57211758869)","57607552700; 55303729500; 57211758869","BladeRunner-AD: Adversarial Co-evolution of Robust and Interpretable Driving Policies via LLM Agent Games","2025","2025 IEEE International Conference on Mechatronic and Embedded Systems and Applications, MESA 2025","","","","122","127","10.1109/MESA68091.2025.11278881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031444402&doi=10.1109%2FMESA68091.2025.11278881&partnerID=40&md5=e1c97d3c4d0eb00de1a7a8b68793aac1","The core challenge in autonomous driving decision-making systems lies in ensuring safety and robustness in complex and adversarial scenarios. Traditional reinforcement learning methods lack interpretability, while recent approaches that use Large Language Models (LLMs) to generate interpretable rules, though transparent, produce policies that are brittle against unknown adversarial corner cases. To address this issue, we propose BladeRunner-AD, an innovative framework for driving policy generation. This framework models the policy generation process as a zero-sum game between two LLM agents. A”Policy Defender” agent is responsible for generating an executable decision-tree driving policy, while a”stylized” Adversarial Attacker agent analyzes the current policy’s logical flaws and generates adversarial scenarios in simulation most likely to cause it to fail. Through a closed loop of generation-attack-reflection-revision, the policy co-evolves under continuous, worst-case pressure. This mechanism, akin to automated red teaming, forces the generated rules to be continuously refined, thereby achieving high robustness. We conducted comprehensive experiments in interactive scenarios on the highway-env simulation platform. The results demonstrate that policies generated by BladeRunner-AD exhibit a significantly lower collision rate on an independent adversarial test set compared to baseline methods, showcasing superior robustness and safety. This work presents a novel paradigm for generating autonomous driving decision-making systems that are both robust and interpretable. ©2025 IEEE.","Adversarial Learning; Autonomous Driving; Co-evolution; Decision Making; Interpretability; Large Language Models (LLM); Robustness","Autonomous agents; Autonomous vehicles; Computation theory; Computational methods; Decision trees; Game theory; Learning systems; Safety engineering; Simulation platform; Adversarial learning; Autonomous driving; Co-evolution; Decisions makings; Driving decision makings; Interpretability; Language model; Large language model; Model agents; Robustness; Robustness (control systems)","Association of Global Intelligent Science and Technology (AGIST); Chinese Association of Automation (CAA); IEEE Intelligent Transportation Systems Society (ITSS); Institute of Electrical and Electronics Engineers (IEEE); Macau University of Science and Technology (MUST)","21st IEEE International Conference on Mechatronic and Embedded Systems and Applications, MESA 2025","8 November 2025 through 10 November 2025","Macau","218014","English","Conference paper","Final","","Scopus"
"Jacob A.P.; Shen Y.; Farina G.; Andreas J.","Jacob, Athul Paul (57223909245); Shen, Yikang (56488871000); Farina, Gabriele (57185229800); Andreas, Jacob (55667847200)","57223909245; 56488871000; 57185229800; 55667847200","THE CONSENSUS GAME: LANGUAGE MODEL GENERATION VIA EQUILIBRIUM SEARCH","2024","12th International Conference on Learning Representations, ICLR 2024","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197685776&partnerID=40&md5=8e6ec103cea81f0803f540cde698388b","When applied to question answering and other text generation tasks, language models (LMs) may be queried generatively (by sampling answers from their output distribution) or discriminatively (by using them to score or rank a set of candidate outputs). These procedures sometimes yield very different predictions. How do we reconcile mutually incompatible scoring procedures to obtain coherent LM predictions? We introduce a new training-free, game-theoretic procedure for language model decoding. Our approach casts language model decoding as a regularized imperfect-information sequential signaling game-which we term the CONSENSUS GAME-in which a GENERATOR seeks to communicate an abstract correctness parameter using natural language sentences to a DISCRIMINATOR. We develop computational procedures for finding approximate equilibria of this game, resulting in a decoding algorithm we call EQUILIBRIUM-RANKING. Applied to a large number of tasks (including reading comprehension, commonsense reasoning, mathematical problem-solving, and dialog), EQUILIBRIUM-RANKING consistently, and sometimes substantially, improves performance over existing LM decoding procedures-on multiple benchmarks, we observe that applying EQUILIBRIUM-RANKING to LLaMA-7B outperforms the much larger LLaMA-65B and PaLM-540B models. These results highlight the promise of game-theoretic tools for addressing fundamental challenges of truthfulness and consistency in LMs. © 2024 12th International Conference on Learning Representations, ICLR 2024. All rights reserved.","","Abstracting; Computational linguistics; Decoding; Game theory; Natural language processing systems; Coherent language model; Game-theoretic; Imperfect information; Language model; Model generation; Model prediction; Output distribution; Question Answering; Signaling game; Text generations; Benchmarking","et al; Google Deepmind; Google Research; Meta; Microsoft","12th International Conference on Learning Representations, ICLR 2024","7 May 2024 through 11 May 2024","Hybrid, Vienna","200372","English","Conference paper","Final","","Scopus"
"Mei A.; Wang J.; Zhu G.-N.; Gan Z.","Mei, Aoran (59165599600); Wang, Jianhua (59165417700); Zhu, Guo-Niu (43361991600); Gan, Zhongxue (54419884000)","59165599600; 59165417700; 43361991600; 54419884000","GameVLM: A Decision-making Framework for Robotic Task Planning Based on Visual Language Models and Zero-sum Games","2024","2024 IEEE International Conference on Mechatronics and Automation, ICMA 2024","","","","1771","1776","10.1109/ICMA61710.2024.10633088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203705831&doi=10.1109%2FICMA61710.2024.10633088&partnerID=40&md5=4308188fc81fed0c9de80e583dc12567","With their prominent scene understanding and reasoning capabilities, pre-trained visual-language models (VLMs) such as GPT-4V have attracted increasing attention in robotic task planning. Compared with traditional task planning strategies, VLMs are strong in multimodal information parsing and code generation and show remarkable efficiency. Although VLMs demonstrate great potential in robotic task planning, they suffer from challenges like hallucination, semantic complexity, and limited context. To handle such issues, this paper proposes a multi-agent framework, i.e., GameVLM, to enhance the decision-making process in robotic task planning. In this study, VLM-based decision and expert agents are presented to conduct the task planning. Specifically, decision agents are used to plan the task, and the expert agent is employed to evaluate these task plans. Zero-sum game theory is introduced to resolve inconsistencies among different agents and determine the optimal solution. Experimental results on real robots demonstrate the efficacy of the proposed framework, with an average success rate of 83.3%. Videos of our experiments are available at https://youtu.be/sam-MKCPP7Y.  © 2024 IEEE.","Decision-making; Multi-agent; Task planning; Visual language models; Zero-sum game theory","Intelligent robots; Multi agent systems; Optimal systems; Robot programming; Visual languages; Decision agent; Decision-making frameworks; Decisions makings; Expert agents; Multi agent; Robotic tasks; Task planning; Visual language model; Zero-sum game; Zero-sum game theory; Semantics","","21st IEEE International Conference on Mechatronics and Automation, ICMA 2024","4 August 2024 through 7 August 2024","Tianjin","201980","English","Conference paper","Final","","Scopus"
"Yoon S.","Yoon, Sungwook (55348866400)","55348866400","Strategic Learning Under Linguistic and Contextual Constraints: A Theoretical Framework for LLM-Based Multi-Agent Coordination","2025","IEEE Access","13","","","197053","197071","10.1109/ACCESS.2025.3628927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020942126&doi=10.1109%2FACCESS.2025.3628927&partnerID=40&md5=937cf301530fdcf8c77bee93a0a675c0","This study introduces mathematical frameworks for analyzing strategic coordination in large-language-model-based multi-agent systems operating under context-window limitations and semantic uncertainty. The proposed Context-Constrained Nash Equilibrium (CCNE) and Linguistic Uncertainty Game (LUG) frameworks extend classical game theory to capture bounded-memory reasoning and linguistic ambiguity inherent in realistic AI coordination scenarios. Theoretical analysis establishes the existence of equilibria, derives convergence and performance bounds, and identifies phase-transition phenomena that govern coordination effectiveness. Empirical validation across diverse tasks confirms strong alignment between theoretical predictions and observed coordination behaviors, demonstrating the descriptive and predictive power of the frameworks. The results provide both rigorous mathematical foundations and actionable design insights for developing safe, efficient, and predictable multi-agent AI systems under realistic operating constraints. © 2013 IEEE.","Context-constrained games; game theory; large language models; linguistic uncertainty; multi-agent coordination; Nash equilibrium; natural language processing; strategic communication","Benchmarking; Computational linguistics; Computational methods; Coordination reactions; Information systems; Intelligent agents; Multi agent systems; Nash equilibrium; Natural language processing systems; Context-constrained game; Language model; Language processing; Large language model; Linguistic uncertainty; Multi-agent coordinations; Nash equilibria; Natural language processing; Natural languages; Strategic communication; Game theory","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Schneider T.; Sparrenberg L.; Sifa R.","Schneider, Tobias (59451392000); Sparrenberg, Lorenz (57199195320); Sifa, Rafet (55546297500)","59451392000; 57199195320; 55546297500","Predicting Player Churn with LLMs: A Comprehensive Evaluation of World Knowledge and Reasoning","2025","2025 IEEE 12th International Conference on Data Science and Advanced Analytics, DSAA 2025","","","","","","10.1109/DSAA65442.2025.11248010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029897437&doi=10.1109%2FDSAA65442.2025.11248010&partnerID=40&md5=5037a369d6689f5db5dfc07c113dd19e","While large language models (LLMs) have demonstrated impressive results on public benchmarks, their effectiveness in structured, real-world problems like behavioral analytics remains underexplored. This work assesses the out-of-The-box performance of LLMs for industry-specific downstream tasks, with player churn prediction as a representative task. Evaluating LLMs on public benchmarks risks data leakage and task-specific overfitting, so instead we perform experiments on a novel self-compiled dataset for churn prediction, a task not part of any standard benchmark. We compare the performance of OpenAI's GPT-4.1 with traditional machine learning models, such as XGBoost and MLPs, and analyze the impact of the LLM's extensive internal world knowledge and reasoning capabilities. With few-shot prompting, GPT-4.1 achieves a weighted F1 score of 0.787, matching the performance of XGBoost on the same set of samples. We show that the LLM can compensate for missing information with its internal world knowledge and reasoning capabilities, performing best if it can leverage both. Our results highlight the potential of LLMs for cross-game churn prediction and other structured, industry-specific tasks.  © 2025 IEEE.","Few-Shot Prompting; Foundation Models; In-Context Learning; Large Language Models; Player Churn Prediction; Video Game Analytics","Artificial intelligence; Benchmarking; Game theory; Interactive computer graphics; Knowledge management; Learning systems; Prediction models; Churn predictions; Context learning; Few-shot prompting; Foundation models; In contexts; In-context learning; Language model; Large language model; Player churn prediction; Video game analytic; Video-games; Forecasting","","12th IEEE International Conference on Data Science and Advanced Analytics, DSAA 2025","9 October 2025 through 12 October 2025","Birmingham","217293","English","Conference paper","Final","","Scopus"
"Shani L.; Rosenberg A.; Cassel A.; Lang O.; Calandriello D.; Zipori A.; Noga H.; Keller O.; Piot B.; Szpektor I.; Hassidim A.; Matias Y.; Munos R.","Shani, Lior (55375851500); Rosenberg, Aviv (57215330131); Cassel, Asaf (57219495524); Lang, Oran (57204710993); Calandriello, Daniele (55737371500); Zipori, Avital (59167128100); Noga, Hila (57351986600); Keller, Orgad (23396948800); Piot, Bilal (55697434100); Szpektor, Idan (24605485300); Hassidim, Avinatan (11440573000); Matias, Yossi (7003934821); Munos, Rémi (6603222926)","55375851500; 57215330131; 57219495524; 57204710993; 55737371500; 59167128100; 57351986600; 23396948800; 55697434100; 24605485300; 11440573000; 7003934821; 6603222926","Multi-turn Reinforcement Learning from Preference Human Feedback","2024","Advances in Neural Information Processing Systems","37","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000463745&partnerID=40&md5=04e3eba3064a16e5926f6b31832a0650","Reinforcement Learning from Human Feedback (RLHF) has become the standard approach for aligning Large Language Models (LLMs) with human preferences, allowing LLMs to demonstrate remarkable abilities in various tasks. Existing methods work by emulating the preferences at the single decision (turn) level, limiting their capabilities in settings that require planning or multi-turn interactions to achieve a long-term goal. In this paper, we address this issue by developing novel methods for Reinforcement Learning (RL) from preference feedback between two full multi-turn conversations. In the tabular setting, we present a novel mirror-descent-based policy optimization algorithm for the general multi-turn preference-based RL problem, and prove its convergence to Nash equilibrium. To evaluate performance, we create a new environment, Education Dialogue, where a teacher agent guides a student in learning a random topic, and show that a deep RL variant of our algorithm outperforms RLHF baselines. Finally, we show that in an environment with explicit rewards, our algorithm recovers the same performance as a reward-based RL baseline, despite relying solely on a weaker preference signal. © 2024 Neural information processing systems foundation. All rights reserved.","","","","38th Conference on Neural Information Processing Systems, NeurIPS 2024","9 December 2024 through 15 December 2024","Vancouver","207061","English","Conference paper","Final","","Scopus"
