key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-496397696,Exploring the Integration of Large Language Models and Monte Carlo Tree Search in Team Formation for Turn-Based Games: a case-study with the VGC AI Competition,2025,,,IEEE Transactions on Games,,,,,"Ferrero, Á. and Barambones, J. and Cano-Benito, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017313129&doi=10.1109%2FTG.2025.3613232&partnerID=40&md5=640546db997878a4895bbd98ec22b200,English,,,,Export Date: 08 April 2026,10.1109/TG.2025.3613232,Case study;Intelligent game agents;Large Language Models;Monte-Carlo Tree Search;Team Formation;Turn-based games;Artificial intelligence;Behavioral research;Computation theory;Decision trees;Forestry;Game theory;Intelligent agents;Natural language processing systems;Optimization;Case-studies;Decisions makings;Intelligent game agent;Language model;Large language model;Monte-carlo tree search;Strategy games;Team formation;Tree-search;Turn-based game;Heuristic algorithms;Monte Carlo methods,,
rayyan-496397704,PokéChamp: an Expert-level Minimax Language Agent,2025,,,Proceedings of Machine Learning Research,,267,,29205-29222,"Karten, S. and Nguyen, A.L. and Jin, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023837338&partnerID=40&md5=f1269005598036e2e728d4c35d569eab,English,,,,"Export Date: 08 April 2026; Conference name: 42nd International Conference on Machine Learning, ICML 2025; Conference date: 13 July 2025 through 19 July 2025; Conference code: 340759",,Computational methods;Function evaluation;Game theory;Intelligent agents;Multi agent systems;Observability;Open systems;Competitive games;Function estimation;Gameplay;Human knowledge;Language model;Minimax;Opponent models;Player action;Tree-search;Value functions;Agents,,
rayyan-496397706,PokerBench: Training Large Language Models to Become Professional Poker Players,2025,,,Proceedings of the AAAI Conference on Artificial Intelligence,,39,24,26175-26182,"Zhuang, R. and Gupta, A. and Yang, R. and Rahane, A. and Li, Z. and Anumanchipalli, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004000992&doi=10.1609%2Faaai.v39i24.34814&partnerID=40&md5=0b643a41dc491db20ba03a1a6dddd650,English,,,,"Export Date: 08 April 2026; Conference name: 39th Annual AAAI Conference on Artificial Intelligence, AAAI 2025; Conference date: 25 February 2025 through 4 March 2025; Conference code: 208400",10.1609/aaai.v39i24.34814,Game theory;Excel;Fine tuning;Human psychology;Incomplete information games;Language model;Model finding;Planning strategies;Series model;State of the art;Strategic game;Supervised learning,,
rayyan-496397708,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,2024,,,Advances in Neural Information Processing Systems,,37,,,"Piatti, G. and Jin, Z. and Kleiman-Weiner, M. and Schölkopf, B. and Sachan, M. and Mihalcea, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000546795&partnerID=40&md5=690c01f2dfbe9087ace96c5f8886779b,English,,,,"Export Date: 08 April 2026; Conference name: 38th Conference on Neural Information Processing Systems, NeurIPS 2024; Conference date: 9 December 2024 through 15 December 2024; Conference code: 207061",,Decision making;Information systems;Multi agent systems;Simulation platform;Sustainable development;AI systems;Common resources;Cooperative decision making;Ethical considerations;Human lives;Language model;Model agents;Model-based OPC;Simulation platform;Strategic interactions;Agents,,
rayyan-496397709,Can LLMs Play Ô Ǎn Quan? A Study of Multi-Step Planning and Decision Making,2025,,,"2025 International Conference on Multimedia Analysis and Pattern Recognition, MAPR 2025 - Proceedings",,,,,"Nguyen, S.Q. and Van Nguyen, K. and Nguyen, V.-T. and Ngo, T.D. and Nguyen, N.L.-T. and Le, D.-D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016108519&doi=10.1109%2FMAPR67746.2025.11133971&partnerID=40&md5=fc5aeb634d1fc6cee43332e31fce4441,English,,,,"Export Date: 08 April 2026; Conference name: 8th International Conference on Multimedia Analysis and Pattern Recognition, MAPR 2025; Conference date: 14 August 2025 through 15 August 2025; Conference code: 211763",10.1109/MAPR67746.2025.11133971,Decision-Making;Game-Theoretic AI;Large Language Models;NLP Applications;Strategic Planning;Artificial intelligence;Behavioral research;Computational methods;Decision making;Decision theory;Game theory;Board games;Decisions makings;Game-theoretic;Game-theoretic AI;Language model;Large language model;Multisteps;NLP application;Through the lens;Vietnamese;Strategic planning,,
rayyan-496397710,Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method,2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,,,3579-3602,"Xia, T. and He, Z. and Ren, T. and Miao, Y. and Zhang, Z. and Yang, Y. and Wang, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191274493&doi=10.18653%2Fv1%2F2024.findings-acl.213&partnerID=40&md5=3253f8146adf60d710397ac8b392ccfc,English,,,,"Export Date: 08 April 2026; Conference name: Findings of the 62nd Annual Meeting of the Association for Computational Linguistics, ACL 2024; Conference date: 11 August 2024 through 16 August 2024; Conference code: 202475",10.18653/v1/2024.findings-acl.213,Benchmarking;Costs;Natural language processing systems;Sales;Agent performance;Buyers and sellers;Deterministics;Incomplete information games;Learn+;Model size;Natural languages;Performance;Product price;Computational linguistics,,
rayyan-496397711,EAI: Emotional Decision-Making of LLMs in Strategic Games and Ethical Dilemmas,2024,,,Advances in Neural Information Processing Systems,,37,,,"Mozikov, M. and Severin, N. and Bodishtianu, V. and Glushanina, M. and Nasonov, I. and Orekhov, D. and Pekhotin, V. and Makovetskiy, I. and Baklashkin, M. and Lavrentyev, V. and Tsvigun, A. and Turdakov, D. and Shavrina, T. and Savchenko, A. and Makarov, I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000496640&partnerID=40&md5=ef028d9a34903334c3d53e151c15a47a,English,,,,"Export Date: 08 April 2026; Conference name: 38th Conference on Neural Information Processing Systems, NeurIPS 2024; Conference date: 9 December 2024 through 15 December 2024; Conference code: 207061",,Alignment;Behavioral research;Decision making;Ethical technology;Game theory;Decisions makings;Emotional decision making;Ethical dilemma;Human behaviors;Human decisions;In-depth analysis;Language model;Language processing;Natural languages;Strategic game;Natural language processing systems,,
rayyan-496397714,Dynamic difficulty adjustment using a large language model: A case study in magic: The Gathering,2025,,,Entertainment Computing,,55,,,"Li, X. and Ye, Z. and Xia, Y. and Thawonmas, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012098381&doi=10.1016%2Fj.entcom.2025.100997&partnerID=40&md5=a056d8a5c228484441b1439ebb7442d6,English,,,,Export Date: 08 April 2026,10.1016/j.entcom.2025.100997,Difficulty arc;Dynamic difficulty adjustment;Large language model;Magic;The Gathering;Game theory;Adjustment mechanisms;Card games;Case-studies;Difficulty arc;Dynamic difficulty adjustment;Language model;Large language model;Magic;Real-world;The gathering;Digital differential analyzers,,
rayyan-496397716,Cooperation and Decision-Making of LLM Agents in Bayesian-Informed Infinitely Repeated Games,2025,,,"2025 59th Annual Conference on Information Sciences and Systems, CISS 2025",,,,,"Pan, D. and Chen, W. and Shi, J. and Wu, C. and Wang, D. and Hong, C.S. and Han, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002713549&doi=10.1109%2FCISS64860.2025.10944679&partnerID=40&md5=04b31059a0fd920333ca3cdccb5f2f67,English,,,,"Export Date: 08 April 2026; Conference name: 59th Annual Conference on Information Sciences and Systems, CISS 2025; Conference date: 19 March 2025 through 21 March 2025; Conference code: 208075",10.1109/CISS64860.2025.10944679,bayesian inference;infinitely repeated games;large language model;Decision theory;Hierarchical systems;Inference engines;Markov processes;Nash equilibrium;Natural language processing systems;Bayesian;Bayesian inference;Decisions makings;Infinitely repeated game;Language model;Large language model;Model agents;Performance;Probabilistic information;Repeated games;Decision making,,
rayyan-496397718,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,2024,,,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2024",,,,10336-10351,"Huang, Y.J. and Hadfi, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217621356&doi=10.18653%2Fv1%2F2024.findings-emnlp.605&partnerID=40&md5=7c67d13b99d048c1ae60dc54b86c3b22,English,,,,"Export Date: 08 April 2026; Conference name: 2024 Findings of the Association for Computational Linguistics, EMNLP 2024; Conference date: 12 November 2024 through 16 November 2024; Conference code: 205885",10.18653/v1/2024.findings-emnlp.605,Computer simulation languages;Decision making;Digital elevation model;Behavioral patterns;Customizable;Decisions makings;Language model;Model agents;Model-based simulations;Negotiation outcomes;Personality traits;Simulation framework;Synthesised;Computational linguistics,,
rayyan-496397721,FishBargain: An LLM-Empowered Bargaining Agent for Online Fleamarket Platform Sellers,2025,,,WWW Companion 2025 - Companion Proceedings of the ACM Web Conference 2025,,,,2855-2858,"Kong, D. and Yan, X. and Chen, M. and Han, S. and Chen, J. and Huang, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009231660&doi=10.1145%2F3701716.3715176&partnerID=40&md5=cbbbee1f455104e2f3e4863f03c06a37,English,,,,"Export Date: 08 April 2026; Conference name: 34th ACM Web Conference, WWW Companion 2025; Conference date: 28 April 2025 through 2 May 2025; Conference code: 209280",10.1145/3701716.3715176,Bargaining;Large Language Model;Proactive Dialogue;Electronic commerce;Investments;Bargaining;Business to consumer E commerces;Commerce platforms;Context information;Language model;Large language model;Proactive dialog;Product information;Qualitative experiments;Uncertainty;Computational linguistics,,
rayyan-496397722,Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis,2024,,,Proceedings of the AAAI Conference on Artificial Intelligence,,38,16,17960-17967,"Fan, C. and Chen, J. and Jin, Y. and He, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180300663&doi=10.1609%2Faaai.v38i16.29751&partnerID=40&md5=28297e69476e834b806fcd7ac1ce9862,English,,,,"Export Date: 08 April 2026; Conference name: 38th AAAI Conference on Artificial Intelligence, AAAI 2024; Conference date: 20 February 2024 through 27 February 2024; Conference code: 198370",10.1609/aaai.v38i16.29751,Behavioral research;Computational linguistics;Computer games;Analytical tool;Empirical research;Fundamental principles;Human behaviors;Language games;Language model;Player behavior;Rational players;Social science research;Systematic analysis;Game theory,,
rayyan-496397724,Simulating Social Behavior of LLM-Based Autonomous Negotiator Agents in a Game-Theoretical Framework Using Multi-Agent Systems,2025,,,International Journal of Human-Computer Interaction,,41,23,15169-15178,"Mouri Zadeh Khaki, A. and Choi, A. and Seyyed-Kalantari, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005522808&doi=10.1080%2F10447318.2025.2495117&partnerID=40&md5=764b04fd3a45090216a3829bf68be7d2,English,,,,Export Date: 08 April 2026,10.1080/10447318.2025.2495117,Decision-making;game theory;large language models;multi-agent systems;social behavior;strategic reasoning;Autonomous agents;Economic and social effects;Emotional intelligence;Risk perception;Social behavior;Social psychology;Decisions makings;Evaluating systems;Game-theoretical framework;Language model;Large language model;Model-based OPC;Multiagent systems (MASs);Social behaviour;Strategic reasoning;System robustness;Consumer behavior,,
rayyan-496397725,CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems,2025,,,"IEEE International Workshop on Machine Learning for Signal Processing, MLSP",,,,,"Tamer, O.A. and Gümüş, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022136570&doi=10.1109%2FMLSP62443.2025.11204223&partnerID=40&md5=e718990add4372718d5a0a6418a0822b,English,,,,"Export Date: 08 April 2026; Conference name: 35th IEEE International Workshop on Machine Learning for Signal Processing, MLSP 2025; Conference date: 31 August 2025 through 3 September 2025; Conference code: 214260",10.1109/MLSP62443.2025.11204223,Collaborative Reasoning;Game Theory;Large Language Models;Multi-Agent Systems;Persona-Based Agents;Behavioral research;Computational methods;Decision theory;Distributed computer systems;Feedback;Human resource management;Intelligent agents;Multi agent systems;Collaborative decisions;Collaborative reasonings;Language model;Large language model;Model agents;Model-based OPC;Multiagent systems (MASs);Persona-based agent;Simulation framework;Single-agent;Game theory,,
rayyan-496397729,Will Systems of LLM Agents Lead to Cooperation: An Investigation into a Social Dilemma Extended Abstract,2025,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",,,,2786-2788,"Willis, R. and Du, Y. and Leibo, J.Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009775821&partnerID=40&md5=682eb9e667aca28e38c31369adcfb8f3,English,,,,"Export Date: 08 April 2026; Conference name: 24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025; Conference date: 19 May 2025 through 23 May 2025; Conference code: 209812",,Emergent Behaviour;Game Theory;Multiagent System;Autonomous agents;Behavioral research;Multi agent systems;Cooperative strategy;Emergent behaviours;Extended abstracts;Iterated prisoner dilemmas;Language model;Model agents;Multi agent;Social dilemmas;State of the art;Game theory,,
rayyan-496397733,Evolving Strategies: LLMs as Game Players,2025,,,"4th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2025 - Proceedings",,,,1009-1014,"Avinash, A. and Jain, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002456135&doi=10.1109%2FICSADL65848.2025.10933026&partnerID=40&md5=4260e1d88d9dae108927fe13664b4a04,English,,,,"Export Date: 08 April 2026; Conference name: 4th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2025; Conference date: 18 February 2025 through 20 February 2025; Conference code: 207922",10.1109/ICSADL65848.2025.10933026,Game Theory;LLMs as Players;Two Player Tournament;Adaptive strategy;Cyber security;Game players;Game-theoretic;Language model;Large language model as player;Rational players;Two player tournament,,
rayyan-496397736,ALYMPICS: LLM Agents Meet Game Theory,2025,,,"Proceedings - International Conference on Computational Linguistics, COLING",,,,2845-2866,"Mao, S. and Cai, Y. and Xia, Y. and Wu, W. and Wang, X. and Wang, F. and Guan, Q. and Ge, T. and Wei, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218497118&partnerID=40&md5=8793af2916b5f431d34daef94e3455c7,English,,,,"Export Date: 08 April 2026; Conference name: 31st International Conference on Computational Linguistics, COLING 2025; Conference date: 19 January 2025 through 24 January 2025; Conference code: 206484",,Computational linguistics;Decision making;Case-studies;Controlled environment;Empirical investigation;Human like;Language model;Model agents;Olympics;Rational agents;Strategic interactions;Systematic framework;Game theory,,
rayyan-496397737,Dynamic Personality in LLM Agents: A Framework for Evolutionary Modeling and Behavioral Analysis in the Prisoner's Dilemma,2025,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,,,23087-23100,"Zeng, W. and Wang, B. and Zhao, D. and Qu, Z. and He, R. and Hou, Y. and Hu, Q.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028597182&doi=10.18653%2Fv1%2F2025.findings-acl.1185&partnerID=40&md5=ff1f98a689481eef61181608cb4a7c3f,English,,,,"Export Date: 08 April 2026; Conference name: 63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025; Conference date: 27 July 2025 through 1 August 2025; Conference code: 216594",10.18653/v1/2025.findings-acl.1185,Agents;Computational linguistics;Feedback;Social behavior;Social psychology;Behavioral analysis;Current modeling;Evolutionary models;Language model;Model agents;Modeling analyzes;Personality traits;Prisoners' Dilemma;Real-world;Social psychology;Autonomous agents,,
rayyan-496397739,GTBENCH: Uncovering the Strategic Reasoning Limitations of LLMs via Game-Theoretic Evaluations,2024,,,Advances in Neural Information Processing Systems,,37,,,"Duan, J. and Zhang, R. and Diffenderfer, J. and Kailkhura, B. and Sun, L. and Stengel-Eskin, E. and Bansal, M. and Chen, T. and Xu, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000548036&partnerID=40&md5=1ad8eb543d5f2d018732626536fe8279,English,,,,"Export Date: 08 April 2026; Conference name: 38th Conference on Neural Information Processing Systems, NeurIPS 2024; Conference date: 9 December 2024 through 15 December 2024; Conference code: 207061",,"",,
rayyan-496397740,Too Much Information? Investigating Information Disclosure in Auction Systems with LLM Simulations,2025,,,Conference on Human Factors in Computing Systems - Proceedings,,,,,"Yin, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005772096&doi=10.1145%2F3706599.3720022&partnerID=40&md5=78c3c341e4efae180fdd095ce03bf8e3,English,,,,"Export Date: 08 April 2026; Conference name: 2025 CHI Conference on Human Factors in Computing Systems, CHI EA 2025; Conference date: 26 April 2025 through 1 May 2025; Conference code: 208611",10.1145/3706599.3720022,Digital Advertising System;Information Asymmetry;Large Language Models (LLMs);Mechanism Design;Multi-Agent Simulation;Strategic Information Disclosure;Bibliographies;Decision making;Electronic money;Electronic publishing;Glossaries;Reviews;Advertising systems;Digital advertizing;Digital advertizing system;Information asymmetry;Information disclosure;Language model;Large language model;Mechanism design;Multi-agents simulations;Strategic information disclosure;Open access,,
rayyan-496397741,LLMsPark: A Benchmark for Evaluating Large Language Models in Strategic Gaming Contexts,2025,,,"EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025",,,,182-194,"Chen, J. and Sun, J. and Li, X. and Xin, H. and Xue, Y. and Xu, Y. and Zhao, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028982943&doi=10.18653%2Fv1%2F2025.findings-emnlp.12&partnerID=40&md5=37f7cfe59e90acf188d63e2ea2be7f6a,English,,,,"Export Date: 08 April 2026; Conference name: 30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025; Conference date: 4 November 2025 through 9 November 2025; Conference code: 216600",10.18653/v1/2025.findings-emnlp.12,Behavioral research;Computational linguistics;Decision making;Decision theory;Game theory;Natural language processing systems;Comprehensive evaluation;Decision-making strategies;Dynamic behaviors;Evaluation platforms;Game-theoretic;Language model;Modeling decision makings;Social behaviour;Strategic Behavior;Theory-based evaluation;Multi agent systems,,
rayyan-496397742,Can LLMs effectively provide game-theoretic-based scenarios for cybersecurity?,2025,,,Frontiers in Computer Science,,7,,,"Proverbio, D. and Buscemi, A. and Di Stefano, A. and Han, T.A. and Castignani, G. and Liò, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026480904&doi=10.3389%2Ffcomp.2025.1703586&partnerID=40&md5=68197b0572fd3f7fd067faf2530fdbc8,English,,,,Export Date: 08 April 2026,10.3389/fcomp.2025.1703586,cybersecurity;eavesdropping;game theory;generative AI;large language model;network security;Prisoner's Dilemma;zero-sum game,,
rayyan-496397747,Towards Logically Sound Natural Language Reasoning with Logic-Enhanced Language Model Agents,2025,,,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI",,,,838-842,"Mensfelt, A. and Stathis, K. and Trencsenyi, V.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031894963&doi=10.1109%2FICTAI66417.2025.00122&partnerID=40&md5=1217cf87534ea4de15d8e5f7db7434a7,English,,,,"Export Date: 08 April 2026; Conference name: 37th IEEE International Conference on Tools with Artificial Intelligence, ICTAI 2025; Conference date: 3 November 2025 through 5 November 2025; Conference code: 218234",10.1109/ICTAI66417.2025.00122,Autoformalization;Large Language Models;Logical Validation;Natural Language Reasoning;Computational linguistics;Computer circuits;Formal logic;Game theory;Natural language processing systems;Autoformalization;Ground truth;Language model;Large language model;Logical errors;Logical validation;Model agents;Natural language reasoning;Natural languages;Reasoners;Agents,,
